Ekspertkomité,Vurderingsområde,Vitenskapelig navn id,Fremmedartsstatus,Etableringsklasse,Risikokategori 2018,Risikokategori 2023,Skår Invasjonspotensial,Skår Økologisk effekt,Vitenskapelig navn id,Klimaeffekter invasjonspotensial,Klimaeffekter økologisk effekt
Alger,Fastlands-Norge med havområder,128125,Dørstokkart,A,LO,LO,3.0,1.0,128125,Ja,Nei
Amfibier og reptiler,Fastlands-Norge med havområder,216689,Dørstokkart,A,,NK,1.0,1.0,216689,Nei,Nei
Karplanter,Fastlands-Norge med havområder,103256,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,103256,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,169966,Selvstendig reproduserende,E,SE,SE,4.0,4.0,169966,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,127770,Dørstokkart,A,HI,LO,3.0,1.0,127770,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,134412,Dørstokkart,A,,LO,2.0,1.0,134412,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,128617,Selvstendig reproduserende,E,LO,LO,3.0,1.0,128617,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216058,Dørstokkart,A,,LO,3.0,2.0,216058,Ja,Ja
Karplanter,Fastlands-Norge med havområder,217385,Dørstokkart,B2,,NK,1.0,1.0,217385,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101077,Selvstendig reproduserende,E,PH,PH,4.0,1.0,101077,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101078,Selvstendig reproduserende,C2,NK,NK,1.0,1.0,101078,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101080,Selvstendig reproduserende,E,PH,PH,4.0,1.0,101080,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101087,Selvstendig reproduserende,E,HI,SE,4.0,3.0,101087,Nei,Nei
Karplanter,Fastlands-Norge med havområder,128837,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,128837,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100376,Selvstendig reproduserende,C2,NK,LO,2.0,1.0,100376,Nei,Nei
Karplanter,Fastlands-Norge med havområder,170593,Dørstokkart,C1,NK,LO,2.0,1.0,170593,Nei,Nei
Karplanter,Fastlands-Norge med havområder,100423,Selvstendig reproduserende,E,SE,SE,4.0,3.0,100423,Nei,Nei
Marine invertebrater,Fastlands-Norge med havområder,219715,Dørstokkart,A,,HI,2.0,4.0,219715,Ja,Ja
Karplanter,Fastlands-Norge med havområder,215942,Selvstendig reproduserende,C2,NK,NK,1.0,1.0,215942,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,44995,Selvstendig reproduserende,E,PH,PH,4.0,1.0,44995,Ja,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,216062,Dørstokkart,A,,LO,2.0,1.0,216062,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,44984,Selvstendig reproduserende,E,PH,PH,4.0,1.0,44984,Ja,Nei
Karplanter,Fastlands-Norge med havområder,220001,Dørstokkart,B2,,NK,1.0,1.0,220001,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,121256,Selvstendig reproduserende,,LO,LO,2.0,2.0,121256,Ja,Ja
Terrestriske invertebrater,Fastlands-Norge med havområder,121257,Selvstendig reproduserende,,SE,SE,4.0,3.0,121257,Ja,Ja
Karplanter,Fastlands-Norge med havområder,102888,Selvstendig reproduserende,C3,NK,LO,2.0,1.0,102888,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216788,Dørstokkart,A,,HI,4.0,2.0,216788,Nei,Nei
"Sopper, det gule riket og bakterier",Fastlands-Norge med havområder,216789,Dørstokkart,A,,HI,4.0,2.0,216789,Nei,Nei
Karplanter,Fastlands-Norge med havområder,101094,Selvstendig reproduserende,E,HI,HI,4.0,2.0,101094,Nei,Nei
Karplanter,Fastlands-Norge med havområder,154655,Dørstokkart,B2,,LO,2.0,1.0,154655,Nei,Nei
Karplanter,Fastlands-Norge med havområder,154664,Selvstendig reproduserende,C3,NK,NK,1.0,1.0,154664,Nei,Nei
Terrestriske invertebrater,Fastlands-Norge med havområder,128635,Dørstokkart,A,LO,NK,1.0,1.0,128635,Nei,Nei
Karplanter,Fastlands-Norge med havområder,127914,Selvstendig reproduserende,C2,LO,LO,3.0,1.0,127914,Nei,Nei
